CAMPO;DESCRIZIONE CAMPO;CODICE;DESCRIZIONE CODICE
Cittad;Cittadinanza;465;Zimbabwe
Cittad;Cittadinanza;466;Eritrea
Cittad;Cittadinanza;467;Sud Sudan
Cittad;Cittadinanza;503;Antigua e Barbuda
Cittad;Cittadinanza;505;Bahamas
Cittad;Cittadinanza;506;Barbados
Cittad;Cittadinanza;507;Belize
Cittad;Cittadinanza;509;Canada
Cittad;Cittadinanza;513;Costa Rica
Cittad;Cittadinanza;514;Cuba
Cittad;Cittadinanza;515;Dominica
Cittad;Cittadinanza;516;Repubblica Dominicana
Cittad;Cittadinanza;517;El Salvador
Cittad;Cittadinanza;518;Giamaica
Cittad;Cittadinanza;519;Grenada
Cittad;Cittadinanza;523;Guatemala
Cittad;Cittadinanza;524;Haiti
Cittad;Cittadinanza;525;Honduras
Cittad;Cittadinanza;527;Messico
Cittad;Cittadinanza;529;Nicaragua
Cittad;Cittadinanza;530;Panama
Cittad;Cittadinanza;532;Santa Lucia
Cittad;Cittadinanza;533;Saint Vincent e Grenadine
Cittad;Cittadinanza;534;Saint Kitts e Nevis
Cittad;Cittadinanza;536;Stati Uniti d'America
Cittad;Cittadinanza;602;Argentina
Cittad;Cittadinanza;604;Bolivia
Cittad;Cittadinanza;605;Brasile
Cittad;Cittadinanza;606;Cile
Cittad;Cittadinanza;608;Colombia
Cittad;Cittadinanza;609;Ecuador
Cittad;Cittadinanza;612;Guyana
Cittad;Cittadinanza;614;Paraguay
Cittad;Cittadinanza;615;Perù
Cittad;Cittadinanza;616;Suriname
Cittad;Cittadinanza;617;Trinidad e Tobago
Cittad;Cittadinanza;618;Uruguay
Cittad;Cittadinanza;619;Venezuela
Cittad;Cittadinanza;701;Australia
Cittad;Cittadinanza;703;Figi
Cittad;Cittadinanza;708;Kiribati
Cittad;Cittadinanza;712;Isole Marshall
Cittad;Cittadinanza;713;Stati Federati di Micronesia
Cittad;Cittadinanza;715;Nauru
Cittad;Cittadinanza;719;Nuova Zelanda
Cittad;Cittadinanza;720;Palau
Cittad;Cittadinanza;721;Papua Nuova Guinea
Cittad;Cittadinanza;725;Isole Salomone
Cittad;Cittadinanza;727;Samoa
Cittad;Cittadinanza;730;Tonga
Cittad;Cittadinanza;731;Tuvalu
Cittad;Cittadinanza;732;Vanuatu
Cittad;Cittadinanza;902;Nuova Caledonia
Cittad;Cittadinanza;904;Saint-Martin (FR)
Cittad;Cittadinanza;905;Sahara occidentale
Cittad;Cittadinanza;906;Saint-Barthélemy
Cittad;Cittadinanza;908;Bermuda
Cittad;Cittadinanza;909;Isole Cook (NZ)
Cittad;Cittadinanza;910;Gibilterra
Cittad;Cittadinanza;911;Isole Cayman
Cittad;Cittadinanza;917;Anguilla
Cittad;Cittadinanza;920;Polinesia francese
Cittad;Cittadinanza;924;Isole Faroe
Cittad;Cittadinanza;925;Jersey
Cittad;Cittadinanza;926;Aruba
Cittad;Cittadinanza;928;Sint Maarten (NL)
Cittad;Cittadinanza;934;Groenlandia
Cittad;Cittadinanza;939;Sark
Cittad;Cittadinanza;940;Guernsey
Cittad;Cittadinanza;958;Isole Falkland (Malvine)
Cittad;Cittadinanza;959;Isola di Man
Cittad;Cittadinanza;964;Montserrat
Cittad;Cittadinanza;966;Curaçao
Cittad;Cittadinanza;972;Isole Pitcairn
Cittad;Cittadinanza;980;Saint Pierre e Miquelon
Cittad;Cittadinanza;983;Sant'Elena
Cittad;Cittadinanza;988;Terre australi e antartiche francesi
Cittad;Cittadinanza;992;Isole Turks e Caicos
Cittad;Cittadinanza;994;Isole Vergini britanniche
Cittad;Cittadinanza;997;Wallis e Futuna
Ncomp;Numero componenti della famiglia;0;numerico
Relpar;Relazione di parentela;1;Intestatario Scheda
