Sezione;Elettori;Votanti; RIFORMISTI PER EMILIA-ROMAGNA FUTURA; CIVICI CON DE PASCALE PRESIDENTE; MOVIMENTO CINQUE STELLE; ALLEANZA VERDI E SINISTRA - COALIZIONI CIVICHE - POSSIBILE; PARTITO DEMOCRATICO - DE PASCALE PRESIDENTE; RETE CIVICA ELENA UGOLINI PRESIDENTE; FORZA ITALIA - BERLUSCONI - UGOLINI PRESIDENTE - NOI MODERATI; FRATELLI D'ITALIA - GIORGIA MELONI; LEGA SALVINI EMILIA-ROMAGNA - IL POPOLO DELLA FAMIGLIA; LEALTÀ COERENZA VERITÀ; EMILIA-ROMAGNA PER LA PACE, L'AMBIENTE E IL LAVORO;Schede Bianche;Schede Nulle;Schede Contestate
81;731;319;5;6;11;19;115;13;23;69;19;3;9;0;4;0;
82;900;338;1;10;10;20;98;10;10;64;10;4;6;2;13;0;
83;642;256;3;4;6;25;77;9;31;54;13;0;6;0;3;0;
84;866;448;7;10;20;21;168;13;47;85;22;8;8;3;4;0;
85;852;385;5;14;13;44;126;17;33;62;25;5;4;0;8;0;
86;867;340;1;10;7;21;91;14;47;82;21;1;6;4;2;0;
87;727;284;1;13;8;20;103;14;40;44;12;5;2;1;1;0;
88;710;235;2;6;12;11;75;7;36;44;8;2;8;0;4;0;
89;569;221;3;4;12;10;76;6;25;44;22;0;4;0;2;0;
90;585;242;3;7;9;17;59;7;39;54;15;3;2;1;2;0;
91;809;326;5;7;13;20;117;15;43;51;9;2;9;0;2;0;
92;684;305;4;6;16;17;109;9;26;55;23;3;4;1;5;0;
93;652;254;1;5;8;18;93;4;33;54;11;3;3;5;4;0;
94;862;187;4;5;8;13;64;7;22;23;11;3;5;1;4;0;
95;866;299;3;10;16;11;91;17;50;51;22;4;2;0;6;0;
96;900;401;12;5;16;29;136;16;40;79;8;4;6;2;6;0;
97;831;238;2;8;13;14;73;7;43;43;4;2;6;0;6;0;
98;603;247;4;7;10;15;82;7;29;39;17;5;0;2;5;0;
99;755;333;9;11;9;19;94;15;31;86;21;4;3;0;3;0;
100;916;421;11;13;28;18;134;16;33;83;19;5;5;8;3;0;
101;668;333;7;9;14;22;100;6;39;67;23;2;3;0;5;0;
102;755;322;8;13;10;17;114;4;35;54;15;10;9;1;7;0;
103;663;279;1;7;6;18;106;6;21;54;14;6;6;2;3;0;
104;703;353;4;8;9;32;131;10;45;58;16;2;4;1;6;0;
105;824;347;7;14;20;33;102;8;38;55;11;5;10;1;5;0;
106;686;290;6;3;7;8;93;7;44;67;7;2;10;2;3;0;
107;844;299;4;4;15;19;97;5;46;65;11;0;7;0;5;0;
108;865;354;8;8;16;19;127;12;52;60;13;2;7;3;3;0;
109;992;357;3;11;11;19;88;12;56;87;25;1;12;2;5;0;
110;781;319;5;13;13;19;110;8;41;54;17;2;4;2;4;0;
111;772;392;9;9;5;19;148;19;46;71;14;3;7;2;6;0;
112;792;408;6;20;10;30;126;18;47;70;25;4;9;3;3;0;
113;680;321;8;4;7;19;137;9;26;53;21;1;8;1;2;0;
114;732;393;4;18;10;34;150;18;38;58;15;2;8;2;5;0;
115;905;238;4;3;8;16;96;2;20;40;21;1;5;2;2;0;
116;787;351;7;13;15;23;118;12;45;66;9;2;2;1;7;0;
117;750;365;8;10;18;36;125;7;29;74;21;2;5;1;7;0;
118;815;372;9;9;13;27;119;7;49;62;21;2;12;5;4;0;
119;898;409;10;9;13;39;148;11;41;64;18;2;9;7;3;0;
120;664;285;5;11;11;25;105;11;29;47;5;4;3;0;2;0;
121;848;407;6;9;13;31;156;12;43;64;26;3;7;0;6;0;
122;740;320;7;15;14;42;85;8;30;69;14;0;3;3;4;0;
123;772;383;5;16;15;29;137;11;41;76;14;0;2;2;0;0;
124;765;347;9;11;17;19;138;10;25;67;11;3;6;4;5;0;
125;722;366;4;8;13;15;112;11;61;69;21;5;7;1;4;0;
126;802;445;13;26;10;26;165;22;45;69;15;1;8;2;4;0;
127;683;197;2;7;13;16;69;5;23;25;5;2;10;0;3;0;
128;924;296;3;9;8;32;117;13;25;45;16;1;7;0;0;0;
129;642;329;6;9;13;14;133;9;29;60;10;4;3;2;5;0;
130;668;223;2;10;8;14;82;11;12;46;10;0;8;1;2;0;
131;889;480;7;14;9;41;159;11;52;97;19;1;9;3;3;0;
132;782;373;7;10;13;45;119;9;44;59;18;1;8;2;4;0;
133;774;331;12;9;8;19;85;12;50;72;23;2;4;6;3;0;
134;916;357;6;6;10;26;86;12;53;82;31;3;5;3;7;0;
135;916;378;4;8;19;19;126;16;45;77;21;4;6;1;6;0;
136;792;391;2;12;16;30;144;13;49;74;11;3;7;1;5;0;
137;743;369;7;7;11;17;125;14;41;69;24;4;3;2;9;0;
138;799;399;5;11;9;25;130;21;49;72;13;2;10;0;9;0;
139;690;345;9;11;11;23;110;16;45;63;6;0;4;3;5;0;
140;791;387;5;6;8;27;148;16;39;63;24;4;4;0;2;0;
141;808;464;9;9;12;35;177;21;42;80;19;1;6;3;7;4;
142;1035;497;10;13;18;36;183;23;34;75;26;2;6;3;11;0;
